t; x; y; theta
5495508.399000; 0.00; 0.00; 0.00
5510339.574000; 0.00; 0.00; 0.00
5525440.806001; 0.00; 0.00; 0.00
5543702.487000; 0.00; 0.00; 0.00
5558945.454000; 0.00; 0.00; 0.00
5574109.443001; 0.00; 0.00; 0.00
5589616.138000; 0.00; 0.00; 0.00
5605624.666000; 0.00; 0.00; 0.00
5621846.883000; 0.00; 0.00; 0.00
5637599.591001; 0.00; 0.00; 0.00
5653757.818001; 0.00; 0.00; 0.00
5669625.241000; 0.00; 0.00; 0.00
5685612.300000; 0.00; 0.00; 0.00
5701651.522000; 0.00; 0.00; 0.00
5717578.671000; 0.00; 0.00; 0.00
5736372.681000; 0.00; 0.00; 0.00
5751465.098001; 0.00; 0.00; 0.00
5766534.682001; 0.00; 0.00; 0.00
5781592.630000; 0.00; 0.00; 0.00
5797604.540999; 0.00; 0.00; 0.00
5813711.988001; 0.00; 0.00; 0.00
5829610.160000; 0.00; 0.00; 0.00
5845650.335000; 0.00; 0.00; 0.00
5861735.301001; 0.00; 0.00; 0.00
5877659.588000; 0.00; 0.00; 0.00
5893616.588000; 0.00; 0.00; 0.00
5909657.750001; 0.00; 0.00; 0.00
5925630.713000; 0.00; 0.00; 0.00
5941578.468000; 0.00; 0.00; 0.00
5957728.536000; 0.00; 0.00; 0.00
5973783.850000; 0.00; 0.00; 0.00
5991576.065001; 0.00; 0.00; 0.00
6007121.709001; 0.00; 0.00; 0.00
6022456.474000; 0.00; 0.00; 0.00
6037768.559000; 0.00; 0.00; 0.00
6053768.712001; 0.00; 0.00; 0.00
6069745.513000; 0.00; 0.00; 0.00
6085800.296000; 0.00; 0.00; 0.00
6101758.855000; 0.00; 0.00; 0.00
6117787.759001; 0.00; 0.00; 0.00
6133611.808001; 0.00; 0.00; 0.00
6152682.697001; 0.00; 0.00; 0.00
6165587.495002; 0.00; 0.00; 0.00
6181644.829000; 0.00; 0.00; 0.00
6197628.666000; 0.00; 0.00; 0.00
6213611.465000; 0.00; 0.00; 0.00
6229707.020000; 0.00; 0.00; 0.00
6245619.144000; 0.00; 0.00; 0.00
6261606.704000; 0.00; 0.00; 0.00
6277634.480000; 0.00; 0.00; 0.00
6293601.655001; 0.00; 0.00; 0.00
6309617.659000; 0.00; 0.00; 0.00
6325664.153000; 0.00; 0.00; 0.00
6341590.379001; 0.00; 0.00; 0.00
6357611.751000; 0.00; 0.00; 0.00
6373613.754001; 0.00; 0.00; 0.00
6389633.277000; 0.00; 0.00; 0.00
6405597.409000; 0.00; 0.00; 0.00
6421733.315001; 0.00; 0.00; 0.00
6437745.201000; 0.00; 0.00; 0.00
6453635.931001; 0.00; 0.00; 0.00
6469759.690001; 0.00; 0.00; 0.00
6485996.951000; 0.00; 0.00; 0.00
6501781.077001; 0.00; 0.00; 0.00
6517740.091000; 0.00; 0.00; 0.00
6533769.867001; 0.00; 0.00; 0.00
6549836.772000; 0.00; 0.00; 0.00
6565634.878000; 0.00; 0.00; 0.00
6581850.615000; 0.00; 0.00; 0.00
6597631.842000; 0.00; 0.00; 0.00
6613651.836000; 0.00; 0.00; 0.00
6629712.528000; 0.00; 0.00; 0.00
6645777.548000; 0.00; 0.00; 0.00
6661753.938001; 0.00; 0.00; 0.00
6677585.176001; 0.00; 0.00; 0.00
6693604.656001; 0.00; 0.00; 0.00
6709530.506001; 0.00; 0.00; 0.00
6725766.730000; 0.00; 0.00; 0.00
6741770.282001; 0.00; 0.00; 0.00
6757747.057001; 0.00; 0.00; 0.00
6773803.819000; 0.00; 0.00; 0.00
6789760.645000; 0.00; 0.00; 0.00
6805756.890000; 0.00; 0.00; 0.00
6821796.488001; 0.00; 0.00; 0.00
6837724.804000; 0.00; 0.00; 0.00
6853747.354000; 0.00; 0.00; 0.00
6869746.359000; 0.00; 0.00; 0.00
6885620.743000; 0.00; 0.00; 0.00
6901659.139000; 0.00; 0.00; 0.00
6917573.223000; 0.00; 0.00; 0.00
6933574.679001; 0.00; 0.00; 0.00
6949567.140000; 0.00; 0.00; 0.00
6965590.141000; 0.00; 0.00; 0.00
6983978.768001; 0.00; 0.00; 0.00
6998079.857999; 0.00; 0.00; 0.00
7013634.666999; 0.00; 0.00; 0.00
7029785.181001; 0.00; 0.00; 0.00
7045827.100000; 0.00; 0.00; 0.00
7061658.707000; 0.00; 0.00; 0.00
7077679.049000; 0.00; 0.00; 0.00
7093668.871000; 0.00; 0.00; 0.00
7109693.646000; 0.00; 0.00; 0.00
7125602.844000; 0.00; 0.00; 0.00
7141608.805000; 0.00; 0.00; 0.00
7157574.270000; 0.00; 0.00; 0.00
7173588.777000; 0.00; 0.00; 0.00
7189550.248000; 0.00; 0.00; 0.00
7205643.162001; 0.00; 0.00; 0.00
7221632.090000; 0.00; 0.00; 0.00
7237697.893000; 0.00; 0.00; 0.00
7253768.551000; 0.00; 0.00; 0.00
7269758.231001; 0.00; 0.00; 0.00
7285927.283000; 0.00; 0.00; 0.00
7301771.954000; 0.00; 0.00; 0.00
7317732.388000; 0.00; 0.00; 0.00
7334162.757000; 0.00; 0.00; 0.00
7349746.467000; 0.00; 0.00; 0.00
7365737.099001; 0.00; 0.00; 0.00
7381621.836000; 0.00; 0.00; 0.00
7397617.670000; 0.00; 0.00; 0.00
7413641.623000; 0.00; 0.00; 0.00
7447031.688000; 0.00; 0.00; 0.00
7462904.555000; 0.00; 0.00; 0.00
7478867.990001; 0.00; 0.00; 0.00
7495038.945001; 0.00; 0.00; 0.00
7511050.701000; 0.00; 0.00; 0.00
7526794.932001; 0.00; 0.00; 0.00
7542992.892000; 0.00; 0.00; 0.00
7559184.189000; 0.00; 0.00; 0.00
7575041.850000; 0.00; 0.00; 0.00
7590902.563000; 0.00; 0.00; 0.00
7607065.185000; 0.00; 0.00; 0.00
7622925.217000; 0.00; 0.00; 0.00
7638979.647000; 0.00; 0.00; 0.00
7655015.923000; 0.00; 0.00; 0.00
7671026.285000; 0.00; 0.00; 0.00
7687056.487000; 0.00; 0.00; 0.00
7702920.667001; 0.00; 0.00; 0.00
7719024.100000; 0.00; 0.00; 0.00
7734923.807000; 0.00; 0.00; 0.00
7750881.153000; 0.00; 0.00; 0.00
7766877.518001; 0.00; 0.00; 0.00
7782887.128000; 0.00; 0.00; 0.00
7798874.188000; 0.00; 0.00; 0.00
7814873.319000; 0.00; 0.00; 0.00
7830871.328001; 0.00; 0.00; 0.00
7846899.911000; 0.00; 0.00; 0.00
7862862.710000; 0.00; 0.00; 0.00
7878999.378000; 0.00; 0.00; 0.00
7894901.557000; 0.00; 0.00; 0.00
7910997.758000; 0.00; 0.00; 0.00
7927023.203001; 0.00; 0.00; 0.00
7943055.098000; 0.00; 0.00; 0.00
7958893.590000; 0.00; 0.00; 0.00
7974884.172001; 0.00; 0.00; 0.00
7995990.820000; 0.00; 0.00; 0.37
8008020.750001; 0.00; 0.00; 0.86
8022991.940001; 0.00; 0.00; 1.47
8038953.120000; 0.00; 0.00; 2.08
8054797.899000; 0.00; 0.00; 2.74
8072988.625000; 0.00; 0.00; 3.51
8088229.100000; 0.00; 0.00; 4.13
8103511.256001; 0.00; 0.00; 4.76
8118868.132000; 0.00; 0.00; 5.38
8134913.052000; 0.00; 0.00; 6.00
8150882.712000; 0.00; 0.00; 6.67
8166848.011001; 0.00; 0.00; 7.32
8182890.616000; 0.00; 0.00; 7.96
8198887.004001; 0.00; 0.00; 8.62
8216958.400001; 0.00; 0.00; 9.39
8231898.050000; 0.00; 0.00; 10.00
8246841.000000; 0.00; 0.00; 10.61
8262755.580000; 0.00; 0.00; 11.22
8278885.690000; 0.00; 0.00; 11.88
8297226.319000; 0.00; 0.00; 12.67
8312463.368000; 0.00; 0.00; 13.29
8327684.862000; 0.00; 0.00; 13.91
8342911.172000; 0.00; 0.00; 14.53
8358942.040001; 0.00; 0.00; 15.15
8374906.768001; 0.00; 0.00; 15.81
8390954.079000; 0.00; 0.00; 16.46
8406943.393001; 0.00; 0.00; 17.11
