t; x; y; theta
5781471.983000; 0.00; 0.00; 0.00
5797472.427000; 0.00; 0.00; 0.00
5813447.479000; 0.00; 0.00; 0.00
5829557.031000; 0.00; 0.00; 0.00
5845447.827000; 0.00; 0.00; 0.00
5911643.792000; 0.00; 0.00; 0.00
5927274.699001; 0.00; 0.00; 0.00
5943116.082000; 0.00; 0.00; 0.00
5961158.232001; 0.00; 0.00; 0.00
5976006.857001; 0.00; 0.00; 0.00
5993132.427999; 0.00; 0.00; 0.00
6008410.886000; 0.00; 0.00; 0.00
6023746.779000; 0.00; 0.00; 0.00
6039396.745000; 0.00; 0.00; 0.00
6055340.480000; 0.00; 0.00; 0.00
6071555.782001; 0.00; 0.00; 0.00
6087298.091000; 0.00; 0.00; 0.00
6103302.094000; 0.00; 0.00; 0.00
6119268.264999; 0.00; 0.00; 0.00
6135262.154000; 0.00; 0.00; 0.00
6151249.660000; 0.00; 0.00; 0.00
6167290.634999; 0.00; 0.00; 0.00
6183309.850000; 0.00; 0.00; 0.00
6199253.132999; 0.00; 0.00; 0.00
6215287.109000; 0.00; 0.00; 0.00
6231260.952001; 0.00; 0.00; 0.00
6247275.068000; 0.00; 0.00; 0.00
6263271.433001; 0.00; 0.00; 0.00
6279276.342000; 0.00; 0.00; 0.00
6295236.139000; 0.00; 0.00; 0.00
6313993.979000; 0.00; 0.00; 0.00
6329072.839000; 0.00; 0.00; 0.00
6344143.646000; 0.00; 0.00; 0.00
6359194.134000; 0.00; 0.00; 0.00
6375270.214000; 0.00; 0.00; 0.00
6391412.189000; 0.00; 0.00; 0.00
6407376.129999; 0.00; 0.00; 0.00
6423340.769000; 0.00; 0.00; 0.00
6439416.042000; 0.00; 0.00; 0.00
6455414.533000; 0.00; 0.00; 0.00
6471404.454000; 0.00; 0.00; 0.00
6487292.234000; 0.00; 0.00; 0.00
6503405.247000; 0.00; 0.00; 0.00
6519252.719999; 0.00; 0.00; 0.00
6535300.622000; 0.00; 0.00; 0.00
6551279.171000; 0.00; 0.00; 0.00
6567268.330000; 0.00; 0.00; 0.00
6583408.606999; 0.00; 0.00; 0.00
6602007.362000; 0.00; 0.00; 0.00
6617312.353000; 0.00; 0.00; 0.00
6632607.479000; 0.00; 0.00; 0.00
6647915.063000; 0.00; 0.00; 0.00
6663455.695000; 0.00; 0.00; 0.00
6679409.629000; 0.00; 0.00; 0.00
6695417.996000; 0.00; 0.00; 0.00
6711417.544000; 0.00; 0.00; 0.00
6727420.709001; 0.00; 0.00; 0.00
6743564.172999; 0.00; 0.00; 0.00
6759178.563000; 0.00; 0.00; 0.00
6775418.283999; 0.00; 0.00; 0.00
6791195.170000; 0.00; 0.00; 0.00
6807373.565000; 0.00; 0.00; 0.00
6823386.793000; 0.00; 0.00; 0.00
6839425.078000; 0.00; 0.00; 0.00
6855451.851999; 0.00; 0.00; 0.00
6871345.767000; 0.00; 0.00; 0.00
6887424.171000; 0.00; 0.00; 0.00
6903299.210999; 0.00; 0.00; 0.00
6919317.119999; 0.00; 0.00; 0.00
6935364.090000; 0.00; 0.00; 0.00
6951424.962000; 0.00; 0.00; 0.00
6967384.794001; 0.00; 0.00; 0.00
6983203.431000; 0.00; 0.00; 0.00
6999284.474000; 0.00; 0.00; 0.00
7015302.718000; 0.00; 0.00; 0.00
7031277.214000; 0.00; 0.00; 0.00
7047256.039000; 0.00; 0.00; 0.00
7068825.591000; 0.00; 0.00; 0.00
7080688.994000; 0.00; 0.00; 0.00
7095806.317000; 0.00; 0.00; 0.00
7111275.768001; 0.00; 0.00; 0.00
7127263.212000; 0.00; 0.00; 0.00
7143251.524000; 0.00; 0.00; 0.00
7159153.620998; 0.00; 0.00; 0.00
7175271.576000; 0.00; 0.00; 0.00
7191266.558001; 0.00; 0.00; 0.00
7207290.021000; 0.00; 0.00; 0.00
7223234.167000; 0.00; 0.00; 0.00
7239235.438000; 0.00; 0.00; 0.00
7255256.695000; 0.00; 0.00; 0.00
7271260.401000; 0.00; 0.00; 0.00
7287223.495998; 0.00; 0.00; 0.00
7305497.934999; 0.00; 0.00; 0.00
7320968.097000; 0.00; 0.00; 0.00
7336307.193000; 0.00; 0.00; 0.00
7351688.333000; 0.00; 0.00; 0.00
7367424.063000; 0.00; 0.00; 0.00
7383405.828000; 0.00; 0.00; 0.00
7399257.447001; 0.00; 0.00; 0.00
7415264.822000; 0.00; 0.00; 0.00
7431302.797000; 0.00; 0.00; 0.00
7464656.769000; 0.00; 0.00; 0.00
7479905.157000; 0.00; 0.00; 0.00
7495909.193000; 0.00; 0.00; 0.00
7511916.559000; 0.00; 0.00; 0.00
7527905.558001; 0.00; 0.00; 0.00
7543901.046000; 0.00; 0.00; 0.00
7559984.092999; 0.00; 0.00; 0.00
7575951.362000; 0.00; 0.00; 0.00
7591918.440999; 0.00; 0.00; 0.00
7607908.281000; 0.00; 0.00; 0.00
7623961.360999; 0.00; 0.00; 0.00
7639854.516000; 0.00; 0.00; 0.00
7655931.995000; 0.00; 0.00; 0.00
7671939.245000; 0.00; 0.00; 0.00
7687965.463000; 0.00; 0.00; 0.00
7703934.962000; 0.00; 0.00; 0.00
7719920.688000; 0.00; 0.00; 0.00
7735920.856999; 0.00; 0.00; 0.00
7751942.273999; 0.00; 0.00; 0.00
7767974.415000; 0.00; 0.00; 0.00
7783964.686000; 0.00; 0.00; 0.00
7799907.896000; 0.00; 0.00; 0.00
7815899.750999; 0.00; 0.00; 0.00
7831797.308001; 0.00; 0.00; 0.00
7847870.907000; 0.00; 0.00; 0.00
7863871.627000; 0.00; 0.00; 0.00
7879906.114000; 0.00; 0.00; 0.00
7895985.046000; 0.00; 0.00; 0.00
7912013.931000; 0.00; 0.00; 0.00
7927840.639999; 0.00; 0.00; 0.00
7943874.732001; 0.00; 0.00; 0.00
7959987.335000; 0.00; 0.00; 0.00
7975982.046000; 0.00; 0.00; 0.00
7993279.497000; 0.00; 0.00; 0.48
8008209.055000; 0.00; 0.00; 1.09
8023823.697000; 0.00; 0.00; 1.70
8039823.160000; 0.00; 0.00; 2.34
8055808.480000; 0.00; 0.00; 3.00
8071937.355000; 0.00; 0.00; 3.65
8087921.061999; 0.00; 0.00; 4.31
8103861.034000; 0.00; 0.00; 4.97
8119913.627000; 0.00; 0.00; 5.61
8135978.347000; 0.00; 0.00; 6.27
8151937.608000; 0.00; 0.00; 6.93
8167917.761001; 0.00; 0.00; 7.58
8183919.759000; 0.00; 0.00; 8.24
8199949.670000; 0.00; 0.00; 8.88
8215891.988000; 0.00; 0.00; 9.54
8231945.763000; 0.00; 0.00; 10.19
8247971.029000; 0.00; 0.00; 10.85
8263952.305000; 0.00; 0.00; 11.50
8280462.941000; 0.00; 0.00; 12.16
8296030.489000; 0.00; 0.00; 12.84
8312102.897000; 0.00; 0.00; 13.47
8328202.811000; 0.00; 0.00; 14.13
8343932.126000; 0.00; 0.00; 14.78
8359913.035999; 0.00; 0.00; 15.42
8391701.767000; 0.00; 0.00; 16.72
8397921.832999; 0.00; 0.00; 16.97
8409819.632999; 0.00; 0.00; 17.49
8425166.992000; 0.00; 0.00; 18.12
8440415.860999; 0.00; 0.00; 18.74
8456133.621000; 0.00; 0.00; 19.35
8472118.521000; 0.00; 0.00; 20.01
8488198.676000; 0.00; 0.00; 20.67
8504016.361000; 0.00; 0.00; 21.33
8519977.471000; 0.00; 0.00; 21.96
8535944.119000; 0.00; 0.00; 22.61
8551809.908000; 0.00; 0.00; 23.26
8567904.222000; 0.00; 0.00; 23.90
8583917.419000; 0.00; 0.00; 24.56
8599869.934000; 0.00; 0.00; 25.21
8615888.033999; 0.00; 0.00; 25.86
8631960.462000; 0.00; 0.00; 26.52
8647873.789001; 0.00; 0.00; 27.18
8663916.734000; 0.00; 0.00; 27.83
8680028.736000; 0.00; 0.00; 28.49
8695845.896000; 0.00; 0.00; 29.15
8711898.413000; 0.00; 0.00; 29.78
8727865.511001; 0.00; 0.00; 30.44
8743855.339000; 0.00; 0.00; 31.10
8759777.013000; 0.00; 0.00; 31.75
8775875.452000; 0.00; 0.00; 32.39
8791914.299001; 0.00; 0.00; 33.06
8807871.237000; 0.00; 0.00; 33.71
8824176.061000; 0.00; 0.00; 34.37
8839941.780000; 0.00; 0.00; 35.04
8856042.634999; 0.00; 0.00; 35.67
8871970.254999; 0.00; 0.00; 36.36
8888272.237000; 0.00; 0.00; 36.99
8904107.667999; 0.00; 0.00; 37.65
8919975.487000; 0.00; 0.00; 38.30
8936136.454999; 0.00; 0.00; 38.95
8952053.049000; 0.00; 0.00; 39.61
8968002.672999; 0.00; 0.00; 40.25
8988852.615000; 0.00; 0.00; 40.99
9000869.118999; 0.00; 0.00; 41.28
9016004.834001; 0.00; 0.00; 41.65
9032106.642000; 0.00; 0.00; 42.03
9047982.299000; 0.00; 0.00; 42.43
9063945.063000; 0.00; 0.00; 42.82
9079930.893999; 0.00; 0.00; 43.21
9095922.808999; 0.00; 0.00; 43.60
9111935.381000; 0.00; 0.00; 43.99
9127930.223000; 0.00; 0.00; 44.38
9143855.835999; 0.00; 0.00; 44.78
9159801.217000; 0.00; 0.00; 45.17
9178071.151000; 0.00; 0.00; 45.64
9193272.683999; 0.00; 0.00; 46.01
9208388.408000; 0.00; 0.00; 46.38
9224182.435000; 0.00; 0.00; 46.76
9240102.738000; 0.00; 0.00; 47.15
9256037.198000; 0.00; 0.00; 47.54
9272110.702000; 0.00; 0.00; 47.93
9288120.207000; 0.00; 0.00; 48.33
9304118.596999; 0.00; 0.00; 48.72
9320012.620000; 0.00; 0.00; 49.12
9336049.112000; 0.00; 0.00; 49.51
9354948.847000; 0.00; 0.00; 49.98
9367987.669001; 0.00; 0.00; 50.28
9383994.367999; 0.00; 0.00; 50.68
9400312.001000; 0.00; 0.00; 51.08
9415965.950000; 0.00; 0.00; 51.47
9431929.295000; 0.00; 0.00; 51.85
9447945.801000; 0.00; 0.00; 52.25
9463806.531000; 0.00; 0.00; 52.64
9479934.698000; 0.00; 0.00; 53.03
9496001.709000; 0.00; 0.00; 53.43
9511942.197001; 0.00; 0.00; 53.82
9527908.027000; 0.00; 0.00; 54.21
9543926.042000; 0.00; 0.00; 54.61
9559939.540999; 0.00; 0.00; 55.00
9575925.362000; 0.00; 0.00; 55.40
9591946.834000; 0.00; 0.00; 55.79
9607905.063000; 0.00; 0.00; 56.18
9623922.656000; 0.00; 0.00; 56.57
9639993.023999; 0.00; 0.00; 56.96
9655905.681999; 0.00; 0.00; 57.36
9671910.383000; 0.00; 0.00; 57.75
9687930.783000; 0.00; 0.00; 58.15
9704037.497999; 0.00; 0.00; 58.54
9719993.412000; 0.00; 0.00; 58.94
9735875.567000; 0.00; 0.00; 59.33
9751886.045000; 0.00; 0.00; 59.72
9767909.762000; 0.00; 0.00; 60.11
9784007.046000; 0.00; 0.00; 60.50
9799927.105000; 0.00; 0.00; 60.90
9816011.132000; 0.00; 0.00; 61.29
9831864.068000; 0.00; 0.00; 61.69
9847780.191000; 0.00; 0.00; 62.07
9863878.166001; 0.00; 0.00; 62.47
9879863.577000; 0.00; 0.00; 62.86
9895823.118000; 0.00; 0.00; 63.26
9911944.642000; 0.00; 0.00; 63.65
9927909.485000; 0.00; 0.00; 64.04
9943805.759000; 0.00; 0.00; 64.44
9959921.415000; 0.00; 0.00; 64.83
9975921.749000; 0.00; 0.00; 65.22
9993492.497000; 0.00; 0.00; 65.56
10008404.481999; 0.00; 0.00; 65.77
10023807.695000; 0.00; 0.00; 65.99
