t; x; y; theta
5760256.672000; 0.00; 0.00; 0.00
5776462.978000; 0.00; 0.00; 0.00
5792396.428000; 0.00; 0.00; 0.00
5808458.957000; 0.00; 0.00; 0.00
5825003.965000; 0.00; 0.00; 0.00
5840651.777000; 0.00; 0.00; 0.00
5856320.264999; 0.00; 0.00; 0.00
5872444.445001; 0.00; 0.00; 0.00
5888323.129001; 0.00; 0.00; 0.00
5904192.317000; 0.00; 0.00; 0.00
5922920.110000; 0.00; 0.00; 0.00
5938133.903000; 0.00; 0.00; 0.00
5953421.704000; 0.00; 0.00; 0.00
5968568.851000; 0.00; 0.00; 0.00
5986439.433001; 0.00; 0.00; 0.00
6001813.293000; 0.00; 0.00; 0.00
6016964.139000; 0.00; 0.00; 0.00
6032357.799000; 0.00; 0.00; 0.00
6053866.474000; 0.00; 0.00; 0.00
6162582.331000; 0.00; 0.00; 0.00
6178601.498000; 0.00; 0.00; 0.00
6194616.208000; 0.00; 0.00; 0.00
6210611.621000; 0.00; 0.00; 0.00
6226779.423000; 0.00; 0.00; 0.00
6242777.788000; 0.00; 0.00; 0.00
6258784.568001; 0.00; 0.00; 0.00
6274759.691000; 0.00; 0.00; 0.00
6290764.029000; 0.00; 0.00; 0.00
6306775.334001; 0.00; 0.00; 0.00
6322781.878000; 0.00; 0.00; 0.00
6338668.519000; 0.00; 0.00; 0.00
6356880.389000; 0.00; 0.00; 0.00
6372086.585000; 0.00; 0.00; 0.00
6387240.698000; 0.00; 0.00; 0.00
6402830.352000; 0.00; 0.00; 0.00
6418660.482000; 0.00; 0.00; 0.00
6434785.504000; 0.00; 0.00; 0.00
6450789.948000; 0.00; 0.00; 0.00
6467032.417001; 0.00; 0.00; 0.00
6482773.449000; 0.00; 0.00; 0.00
6498769.784000; 0.00; 0.00; 0.00
6514791.528000; 0.00; 0.00; 0.00
6530767.292000; 0.00; 0.00; 0.00
6546898.924000; 0.00; 0.00; 0.00
6562819.117001; 0.00; 0.00; 0.00
6578908.870000; 0.00; 0.00; 0.00
6594764.482000; 0.00; 0.00; 0.00
6610748.861000; 0.00; 0.00; 0.00
6626754.287001; 0.00; 0.00; 0.00
6642764.629000; 0.00; 0.00; 0.00
6658807.430000; 0.00; 0.00; 0.00
6674606.533999; 0.00; 0.00; 0.00
6693063.374000; 0.00; 0.00; 0.00
6708340.099000; 0.00; 0.00; 0.00
6723433.765000; 0.00; 0.00; 0.00
6738731.628000; 0.00; 0.00; 0.00
6754741.283999; 0.00; 0.00; 0.00
6770747.943001; 0.00; 0.00; 0.00
6786751.385000; 0.00; 0.00; 0.00
6802889.177000; 0.00; 0.00; 0.00
6821440.071000; 0.00; 0.00; 0.00
6836609.797001; 0.00; 0.00; 0.00
6851735.708000; 0.00; 0.00; 0.00
6867122.722000; 0.00; 0.00; 0.00
6882926.125000; 0.00; 0.00; 0.00
6898843.231000; 0.00; 0.00; 0.00
6914715.429000; 0.00; 0.00; 0.00
6930615.019000; 0.00; 0.00; 0.00
6946902.373000; 0.00; 0.00; 0.00
6962898.924001; 0.00; 0.00; 0.00
6978934.012000; 0.00; 0.00; 0.00
6996315.335999; 0.00; 0.00; 0.00
7011560.575000; 0.00; 0.00; 0.00
7026737.935000; 0.00; 0.00; 0.00
7042759.778999; 0.00; 0.00; 0.00
7058783.452000; 0.00; 0.00; 0.00
7074787.750000; 0.00; 0.00; 0.00
7090752.825001; 0.00; 0.00; 0.00
7106795.576000; 0.00; 0.00; 0.00
7122759.909000; 0.00; 0.00; 0.00
7138749.645000; 0.00; 0.00; 0.00
7155375.524999; 0.00; 0.00; 0.00
7170742.802000; 0.00; 0.00; 0.00
7186720.827000; 0.00; 0.00; 0.00
7202784.816000; 0.00; 0.00; 0.00
7218777.463000; 0.00; 0.00; 0.00
7234769.163000; 0.00; 0.00; 0.00
7250765.840000; 0.00; 0.00; 0.00
7266752.539001; 0.00; 0.00; 0.00
7282716.426001; 0.00; 0.00; 0.00
7298714.210000; 0.00; 0.00; 0.00
7314723.189000; 0.00; 0.00; 0.00
7330729.988999; 0.00; 0.00; 0.00
7349636.731999; 0.00; 0.00; 0.00
7364816.353000; 0.00; 0.00; 0.00
7379877.250000; 0.00; 0.00; 0.00
7394914.022000; 0.00; 0.00; 0.00
7412716.984000; 0.00; 0.00; 0.00
7427898.480000; 0.00; 0.00; 0.00
7443272.830999; 0.00; 0.00; 0.00
7458924.983000; 0.00; 0.00; 0.00
7474815.012000; 0.00; 0.00; 0.00
7490751.177000; 0.00; 0.00; 0.00
7506773.286000; 0.00; 0.00; 0.00
7522760.551001; 0.00; 0.00; 0.00
7538746.874001; 0.00; 0.00; 0.00
7554772.792000; 0.00; 0.00; 0.00
7570809.745000; 0.00; 0.00; 0.00
7586752.354000; 0.00; 0.00; 0.00
7602721.552999; 0.00; 0.00; 0.00
7618895.802000; 0.00; 0.00; 0.00
7635032.114000; 0.00; 0.00; 0.00
7650784.834001; 0.00; 0.00; 0.00
7666795.894000; 0.00; 0.00; 0.00
7682878.408000; 0.00; 0.00; 0.00
7698872.675000; 0.00; 0.00; 0.00
7714908.059000; 0.00; 0.00; 0.00
7745613.235000; 0.00; 0.00; 0.00
7752097.916000; 0.00; 0.00; 0.00
7763879.479000; 0.00; 0.00; 0.00
7778773.174001; 0.00; 0.00; 0.00
7794650.356000; 0.00; 0.00; 0.00
7810621.935000; 0.00; 0.00; 0.00
7826703.053000; 0.00; 0.00; 0.00
7842706.158000; 0.00; 0.00; 0.00
7858752.648000; 0.00; 0.00; 0.00
7874753.905001; 0.00; 0.00; 0.00
7890728.646999; 0.00; 0.00; 0.00
7906820.373000; 0.00; 0.00; 0.00
7922691.901999; 0.00; 0.00; 0.00
7938781.559000; 0.00; 0.00; 0.00
7954758.585000; 0.00; 0.00; 0.00
7970761.050000; 0.00; 0.00; 0.00
7988417.809000; 0.00; 0.00; 0.57
