t; x; y; theta
5782174.420000; 0.00; 0.00; 0.00
5798387.505000; 0.00; 0.00; 0.00
5814369.168000; 0.00; 0.00; 0.00
5830175.243999; 0.00; 0.00; 0.00
5846190.254000; 0.00; 0.00; 0.00
5862404.242999; 0.00; 0.00; 0.00
5878213.594000; 0.00; 0.00; 0.00
5894225.219999; 0.00; 0.00; 0.00
5967975.091001; 0.00; 0.00; 0.00
5983996.712999; 0.00; 0.00; 0.00
6002400.568999; 0.00; 0.00; 0.00
6016546.112000; 0.00; 0.00; 0.00
6033414.339001; 0.00; 0.00; 0.00
6048505.259000; 0.00; 0.00; 0.00
6064229.682000; 0.00; 0.00; 0.00
6080032.275000; 0.00; 0.00; 0.00
6096108.643999; 0.00; 0.00; 0.00
6112514.293000; 0.00; 0.00; 0.00
6128529.945001; 0.00; 0.00; 0.00
6144184.377000; 0.00; 0.00; 0.00
6160204.125000; 0.00; 0.00; 0.00
6175990.143000; 0.00; 0.00; 0.00
6194328.349999; 0.00; 0.00; 0.00
6209432.174000; 0.00; 0.00; 0.00
6224821.146000; 0.00; 0.00; 0.00
6241962.908000; 0.00; 0.00; 0.00
6257286.263000; 0.00; 0.00; 0.00
6272503.269000; 0.00; 0.00; 0.00
6288321.026999; 0.00; 0.00; 0.00
6304338.673000; 0.00; 0.00; 0.00
6319971.106000; 0.00; 0.00; 0.00
6336133.057000; 0.00; 0.00; 0.00
6352169.489000; 0.00; 0.00; 0.00
6367968.402000; 0.00; 0.00; 0.00
6383988.883000; 0.00; 0.00; 0.00
6400187.574000; 0.00; 0.00; 0.00
6419328.647000; 0.00; 0.00; 0.00
6434430.927000; 0.00; 0.00; 0.00
6449650.839000; 0.00; 0.00; 0.00
6464927.855000; 0.00; 0.00; 0.00
6480080.650000; 0.00; 0.00; 0.00
6496018.541000; 0.00; 0.00; 0.00
6512131.455000; 0.00; 0.00; 0.00
6528231.334000; 0.00; 0.00; 0.00
6544204.582001; 0.00; 0.00; 0.00
6560035.615000; 0.00; 0.00; 0.00
6576184.745000; 0.00; 0.00; 0.00
6591982.268000; 0.00; 0.00; 0.00
6610281.536000; 0.00; 0.00; 0.00
6625388.447000; 0.00; 0.00; 0.00
6640661.849000; 0.00; 0.00; 0.00
6656510.887000; 0.00; 0.00; 0.00
6672032.584000; 0.00; 0.00; 0.00
6687985.215000; 0.00; 0.00; 0.00
6704145.866000; 0.00; 0.00; 0.00
6720039.418000; 0.00; 0.00; 0.00
6736095.075999; 0.00; 0.00; 0.00
6752084.589000; 0.00; 0.00; 0.00
6768228.308000; 0.00; 0.00; 0.00
6784187.740000; 0.00; 0.00; 0.00
6800973.309000; 0.00; 0.00; 0.00
6816330.815999; 0.00; 0.00; 0.00
6832304.540000; 0.00; 0.00; 0.00
6848348.954000; 0.00; 0.00; 0.00
6864187.875000; 0.00; 0.00; 0.00
6880467.304000; 0.00; 0.00; 0.00
6896013.959001; 0.00; 0.00; 0.00
6912068.434000; 0.00; 0.00; 0.00
6928192.188000; 0.00; 0.00; 0.00
6944122.326000; 0.00; 0.00; 0.00
6960090.995000; 0.00; 0.00; 0.00
6976061.641000; 0.00; 0.00; 0.00
6993526.523999; 0.00; 0.00; 0.00
7008609.679000; 0.00; 0.00; 0.00
7024100.983999; 0.00; 0.00; 0.00
7040128.610000; 0.00; 0.00; 0.00
7056158.939000; 0.00; 0.00; 0.00
7072306.974000; 0.00; 0.00; 0.00
7088080.988999; 0.00; 0.00; 0.00
7104254.735000; 0.00; 0.00; 0.00
7120156.155000; 0.00; 0.00; 0.00
7136158.644000; 0.00; 0.00; 0.00
7152097.570000; 0.00; 0.00; 0.00
7168108.545000; 0.00; 0.00; 0.00
7184122.992001; 0.00; 0.00; 0.00
7200008.919000; 0.00; 0.00; 0.00
7216667.710000; 0.00; 0.00; 0.00
7232129.403000; 0.00; 0.00; 0.00
7248173.331000; 0.00; 0.00; 0.00
7264091.539000; 0.00; 0.00; 0.00
7279999.257000; 0.00; 0.00; 0.00
