t; x; y; theta
5292238.948000; 0.00; 0.00; 0.00
5308276.429999; 0.00; 0.00; 0.00
5324267.068999; 0.00; 0.00; 0.00
5340308.353999; 0.00; 0.00; 0.00
5356232.783999; 0.00; 0.00; 0.00
5372251.631000; 0.00; 0.00; 0.00
5388250.841000; 0.00; 0.00; 0.00
5404442.568999; 0.00; 0.00; 0.00
5420206.247000; 0.00; 0.00; 0.00
5436209.266999; 0.00; 0.00; 0.00
5452134.077000; 0.00; 0.00; 0.00
5470547.533000; 0.00; 0.00; 0.00
5485778.263000; 0.00; 0.00; 0.00
5501093.379000; 0.00; 0.00; 0.00
5516321.728999; 0.00; 0.00; 0.00
5532705.895000; 0.00; 0.00; 0.00
5548895.731000; 0.00; 0.00; 0.00
5564243.874000; 0.00; 0.00; 0.00
5580299.171000; 0.00; 0.00; 0.00
5596239.724999; 0.00; 0.00; 0.00
5614789.061000; 0.00; 0.00; 0.00
5629995.453000; 0.00; 0.00; 0.00
5645200.693000; 0.00; 0.00; 0.00
5660371.467000; 0.00; 0.00; 0.00
5676221.065000; 0.00; 0.00; 0.00
5692209.612000; 0.00; 0.00; 0.00
5708241.401999; 0.00; 0.00; 0.00
5724464.172000; 0.00; 0.00; 0.00
5740146.572001; 0.00; 0.00; 0.00
5756074.532000; 0.00; 0.00; 0.00
5774602.872999; 0.00; 0.00; 0.00
5789791.978999; 0.00; 0.00; 0.00
5805147.185000; 0.00; 0.00; 0.00
5820318.209998; 0.00; 0.00; 0.00
5836212.790000; 0.00; 0.00; 0.00
5852216.266000; 0.00; 0.00; 0.00
5873743.205999; 0.00; 0.00; 0.00
5885712.393000; 0.00; 0.00; 0.00
5900841.337999; 0.00; 0.00; 0.00
5917038.334000; 0.00; 0.00; 0.00
5933194.375000; 0.00; 0.00; 0.00
5948480.710999; 0.00; 0.00; 0.00
5964293.514000; 0.00; 0.00; 0.00
5980303.155000; 0.00; 0.00; 0.00
5997874.934999; 0.00; 0.00; 0.00
6013195.247999; 0.00; 0.00; 0.00
6028403.769000; 0.00; 0.00; 0.00
6044242.318000; 0.00; 0.00; 0.00
6060270.863000; 0.00; 0.00; 0.00
6076237.580999; 0.00; 0.00; 0.00
6092267.146000; 0.00; 0.00; 0.00
6108135.056000; 0.00; 0.00; 0.00
6126436.323999; 0.00; 0.00; 0.00
6141921.933000; 0.00; 0.00; 0.00
6157052.333000; 0.00; 0.00; 0.00
6172165.868999; 0.00; 0.00; 0.00
6188159.478000; 0.00; 0.00; 0.00
6204193.417999; 0.00; 0.00; 0.00
6220242.754000; 0.00; 0.00; 0.00
6236115.627000; 0.00; 0.00; 0.00
6252311.486000; 0.00; 0.00; 0.00
6268222.648000; 0.00; 0.00; 0.00
6293409.313000; 0.00; 0.00; 0.00
6302377.167999; 0.00; 0.00; 0.00
6317539.892000; 0.00; 0.00; 0.00
6333200.077000; 0.00; 0.00; 0.00
6348532.563000; 0.00; 0.00; 0.00
6364239.447000; 0.00; 0.00; 0.00
6380210.830999; 0.00; 0.00; 0.00
6396233.905999; 0.00; 0.00; 0.00
6412112.783000; 0.00; 0.00; 0.00
6430347.219000; 0.00; 0.00; 0.00
6445637.188000; 0.00; 0.00; 0.00
6460957.858999; 0.00; 0.00; 0.00
6476295.157000; 0.00; 0.00; 0.00
6492254.207000; 0.00; 0.00; 0.00
6508211.339000; 0.00; 0.00; 0.00
6524278.629000; 0.00; 0.00; 0.00
6540277.702000; 0.00; 0.00; 0.00
6556329.037999; 0.00; 0.00; 0.00
6572215.672000; 0.00; 0.00; 0.00
6588219.594000; 0.00; 0.00; 0.00
6604252.643000; 0.00; 0.00; 0.00
6620238.042999; 0.00; 0.00; 0.00
6636353.712999; 0.00; 0.00; 0.00
6652239.698000; 0.00; 0.00; 0.00
6668243.710999; 0.00; 0.00; 0.00
6684285.221000; 0.00; 0.00; 0.00
6700246.368999; 0.00; 0.00; 0.00
6716208.580999; 0.00; 0.00; 0.00
6732466.238999; 0.00; 0.00; 0.00
6748191.564000; 0.00; 0.00; 0.00
6764262.217999; 0.00; 0.00; 0.00
6780136.011999; 0.00; 0.00; 0.00
6796166.725999; 0.00; 0.00; 0.00
6812139.111000; 0.00; 0.00; 0.00
6830539.256000; 0.00; 0.00; 0.00
6844240.125999; 0.00; 0.00; 0.00
6860278.888000; 0.00; 0.00; 0.00
6876230.145000; 0.00; 0.00; 0.00
6892113.758999; 0.00; 0.00; 0.00
6908279.899000; 0.00; 0.00; 0.00
6924127.778999; 0.00; 0.00; 0.00
6940613.275999; 0.00; 0.00; 0.00
6956197.032000; 0.00; 0.00; 0.00
6972191.443000; 0.00; 0.00; 0.00
6989649.971999; 0.00; 0.00; 0.00
7004978.773000; 0.00; 0.00; 0.00
7020264.039000; 0.00; 0.00; 0.00
7036299.113999; 0.00; 0.00; 0.00
7052203.953000; 0.00; 0.00; 0.00
7068123.719999; 0.00; 0.00; 0.00
7084125.627999; 0.00; 0.00; 0.00
7100255.624999; 0.00; 0.00; 0.00
7116138.853000; 0.00; 0.00; 0.00
7132300.908999; 0.00; 0.00; 0.00
7148229.084998; 0.00; 0.00; 0.00
7164203.710999; 0.00; 0.00; 0.00
7180283.684999; 0.00; 0.00; 0.00
