t; x; y; theta
16213353.942001; 0.00; 0.00; 0.00
16228686.381996; 0.00; 0.00; 0.00
16244182.352997; 0.00; 0.00; 0.00
16259390.011002; 0.00; 0.00; 0.00
16274858.323997; 0.00; 0.00; 0.00
16290818.357002; 0.00; 0.00; 0.00
16306842.479996; 0.00; 0.00; 0.00
16323003.003998; 0.00; 0.00; 0.00
16338787.501999; 0.00; 0.00; 0.00
16354798.611000; 0.00; 0.00; 0.00
16370925.756996; 0.00; 0.00; 0.00
16386875.160995; 0.00; 0.00; 0.00
16402859.919998; 0.00; 0.00; 0.00
16418854.982002; 0.00; 0.00; 0.00
16434793.250000; 0.00; 0.00; 0.00
16450789.514999; 0.00; 0.00; 0.00
16466725.673004; 0.00; 0.00; 0.00
16482766.058998; 0.00; 0.00; 0.00
16499048.737999; 0.00; 0.00; 0.00
16514801.220993; 0.00; 0.00; 0.00
16530785.428001; 0.00; 0.00; 0.00
16546773.209000; 0.00; 0.00; 0.00
16562829.394997; 0.00; 0.00; 0.00
16578819.505997; 0.00; 0.00; 0.00
16594798.135002; 0.00; 0.00; 0.00
16611016.289001; 0.00; 0.00; 0.00
16626818.974998; 0.00; 0.00; 0.00
16642793.485001; 0.00; 0.00; 0.00
16658803.505997; 0.00; 0.00; 0.00
16674805.444000; 0.00; 0.00; 0.00
16690792.649002; 0.00; 0.00; 0.00
16706807.987000; 0.00; 0.00; 0.00
16722682.840996; 0.00; 0.00; 0.00
16738794.181999; 0.00; 0.00; 0.00
16754832.237000; 0.00; 0.00; 0.00
16770828.622002; 0.00; 0.00; 0.00
16786817.730995; 0.00; 0.00; 0.00
16802722.496002; 0.00; 0.00; 0.00
16818805.590996; 0.00; 0.00; 0.00
16834719.154999; 0.00; 0.00; 0.00
16850838.732002; 0.00; 0.00; 0.00
16866812.972000; 0.00; 0.00; 0.00
16882786.960999; 0.00; 0.00; 0.00
16898780.729996; 0.00; 0.00; 0.00
16914794.710999; 0.00; 0.00; 0.00
16930897.231003; 0.00; 0.00; 0.00
16946789.897003; 0.00; 0.00; 0.00
16962710.164001; 0.00; 0.00; 0.00
16978705.178993; 0.00; 0.00; 0.00
16996017.664001; 0.00; 0.00; 0.00
17011201.747993; 0.00; 0.00; 0.00
17026831.052002; 0.00; 0.00; 0.00
17042822.691002; 0.00; 0.00; 0.00
17058822.473999; 0.00; 0.00; 0.00
17074798.337997; 0.00; 0.00; 0.00
17090840.487000; 0.00; 0.00; 0.00
17106791.108002; 0.00; 0.00; 0.00
17122767.528000; 0.00; 0.00; 0.00
17138918.432999; 0.00; 0.00; 0.00
17154815.392998; 0.00; 0.00; 0.00
17170808.180000; 0.00; 0.00; 0.00
17186834.047997; 0.00; 0.00; 0.00
17202792.531998; 0.00; 0.00; 0.00
17218831.848999; 0.00; 0.00; 0.00
17234760.291000; 0.00; 0.00; 0.00
17250744.459999; 0.00; 0.00; 0.00
17266791.517998; 0.00; 0.00; 0.00
17282756.592003; 0.00; 0.00; 0.00
17298817.388000; 0.00; 0.00; 0.00
17314794.645996; 0.00; 0.00; 0.00
17330737.559998; 0.00; 0.00; 0.00
17346836.741997; 0.00; 0.00; 0.00
