t; x; y; theta
1744535.438004; 0.00; 0.00; 0.00
1760545.017006; 0.00; 0.00; 0.00
1776751.911011; 0.00; 0.00; 0.00
1792563.130005; 0.00; 0.00; 0.00
1808469.602005; 0.00; 0.00; 0.00
1824387.673004; 0.00; 0.00; 0.00
1840470.689003; 0.00; 0.00; 0.00
1857742.006004; 0.00; 0.00; 0.00
1872856.318008; 0.00; 0.00; 0.00
1888775.548004; 0.00; 0.00; 0.00
1904296.410004; 0.00; 0.00; 0.00
1920520.998009; 0.00; 0.00; 0.00
1936350.254005; 0.00; 0.00; 0.00
1952711.614006; 0.00; 0.00; 0.00
1968523.999008; 0.00; 0.00; 0.00
1986619.898003; 0.00; 0.00; 0.00
2002051.769005; 0.00; 0.00; 0.00
2017200.498009; 0.00; 0.00; 0.00
2032466.809006; 0.00; 0.00; 0.00
2048668.484001; 0.00; 0.00; 0.00
2064358.760010; 0.00; 0.00; 0.00
2082694.251999; 0.00; 0.00; 0.00
2097987.098000; 0.00; 0.00; 0.00
2113171.467010; 0.00; 0.00; 0.00
2128503.309006; 0.00; 0.00; 0.00
2144464.943008; 0.00; 0.00; 0.00
2160488.830009; 0.00; 0.00; 0.00
2176521.884003; 0.00; 0.00; 0.00
2192506.427002; 0.00; 0.00; 0.00
2208527.534004; 0.00; 0.00; 0.00
2224601.865005; 0.00; 0.00; 0.00
2243061.779007; 0.00; 0.00; 0.00
2258441.980003; 0.00; 0.00; 0.00
2273682.495003; 0.00; 0.00; 0.00
2288915.926003; 0.00; 0.00; 0.00
2304563.025009; 0.00; 0.00; 0.00
2320568.169006; 0.00; 0.00; 0.00
2336557.068008; 0.00; 0.00; 0.00
2352545.467003; 0.00; 0.00; 0.00
2368452.401001; 0.00; 0.00; 0.00
2384546.115005; 0.00; 0.00; 0.00
2400528.972000; 0.00; 0.00; 0.00
2416842.722008; 0.00; 0.00; 0.00
2432545.426003; 0.00; 0.00; 0.00
2448376.156006; 0.00; 0.00; 0.00
2464445.244003; 0.00; 0.00; 0.00
2482906.558006; 0.00; 0.00; 0.00
2498248.590004; 0.00; 0.00; 0.00
2513585.225006; 0.00; 0.00; 0.00
2528808.393005; 0.00; 0.00; 0.00
2544596.482002; 0.00; 0.00; 0.00
2560388.698006; 0.00; 0.00; 0.00
2576566.505005; 0.00; 0.00; 0.00
2592396.991005; 0.00; 0.00; 0.00
2608420.458008; 0.00; 0.00; 0.00
2624558.595001; 0.00; 0.00; 0.00
2640693.774002; 0.00; 0.00; 0.00
2656408.752007; 0.00; 0.00; 0.00
2672420.469009; 0.00; 0.00; 0.00
2688420.154007; 0.00; 0.00; 0.00
2704515.764008; 0.00; 0.00; 0.00
2723185.757004; 0.00; 0.00; 0.00
2738566.026009; 0.00; 0.00; 0.00
2753731.651009; 0.00; 0.00; 0.00
2768750.167000; 0.00; 0.00; 0.00
2789410.894005; 0.00; 0.00; 0.00
2801170.611008; 0.00; 0.00; 0.00
2816389.928009; 0.00; 0.00; 0.00
2832332.135002; 0.00; 0.00; 0.00
2848389.892006; 0.00; 0.00; 0.00
2864406.898010; 0.00; 0.00; 0.00
2882799.914009; 0.00; 0.00; 0.00
2897931.411003; 0.00; 0.00; 0.00
2913248.447006; 0.00; 0.00; 0.00
2928453.661011; 0.00; 0.00; 0.00
2944360.732010; 0.00; 0.00; 0.00
2960497.665001; 0.00; 0.00; 0.00
2976609.973007; 0.00; 0.00; 0.00
2994079.291008; 0.00; 0.00; 0.00
3009504.599007; 0.01; 0.00; 0.00
3024857.709007; 0.02; 0.00; 0.00
3040628.479004; 0.02; 0.00; 0.00
3056570.455002; 0.03; 0.00; 0.00
