t; x; y; theta
8536310.112999; 0.00; 0.00; 0.00
8555175.043999; 0.00; 0.00; 0.00
8657993.077999; 0.00; 0.00; 0.00
8673123.643999; 0.00; 0.00; 0.00
8691289.720999; 0.00; 0.00; 0.00
8706626.752998; 0.00; 0.00; 0.00
8722051.330999; 0.00; 0.00; 0.00
8737585.739000; 0.00; 0.00; 0.00
8753358.330999; 0.00; 0.00; 0.00
8769277.025000; 0.00; 0.00; 0.00
8785253.268999; 0.00; 0.00; 0.00
8801302.459000; 0.00; 0.00; 0.00
8817247.066000; 0.00; 0.00; 0.00
8833411.431999; 0.00; 0.00; 0.00
8849435.204000; 0.00; 0.00; 0.00
8865199.625999; 0.00; 0.00; 0.00
8883372.306999; 0.00; 0.00; 0.00
8898665.412001; 0.00; 0.00; 0.00
8913961.274000; 0.00; 0.00; 0.00
8929403.692999; 0.00; 0.00; 0.00
8945402.664000; 0.00; 0.00; 0.00
8961275.267998; 0.00; 0.00; 0.00
8977497.248999; 0.00; 0.00; 0.00
9001614.350998; 0.00; 0.00; 0.00
9010350.154999; 0.00; 0.00; 0.00
9025603.920000; 0.00; 0.00; 0.00
9041297.202999; 0.00; 0.00; 0.00
9057335.417000; 0.00; 0.00; 0.00
9073421.440998; 0.00; 0.00; 0.00
9089402.795998; 0.00; 0.00; 0.00
9105290.414999; 0.00; 0.00; 0.00
9121323.808998; 0.00; 0.00; 0.00
9137262.663000; 0.00; 0.00; 0.00
9153283.126999; 0.00; 0.00; 0.00
9169422.782000; 0.00; 0.00; 0.00
9185397.307999; 0.00; 0.00; 0.00
9201731.546000; 0.00; 0.00; 0.00
9217263.179998; 0.00; 0.00; 0.00
9233310.309999; 0.00; 0.00; 0.00
9249279.504999; 0.00; 0.00; 0.00
9265281.459999; 0.00; 0.00; 0.00
9281239.629000; 0.00; 0.00; 0.00
9297263.260000; 0.00; 0.00; 0.00
9313401.801998; 0.00; 0.00; 0.00
9329437.431000; 0.00; 0.00; 0.00
9345399.276999; 0.00; 0.00; 0.00
9361293.129999; 0.00; 0.00; 0.00
9377288.337999; 0.00; 0.00; 0.00
9393278.693001; 0.00; 0.00; 0.00
9409289.570999; 0.00; 0.00; 0.00
9425256.980000; 0.00; 0.00; 0.00
9441283.678999; 0.00; 0.00; 0.00
9457293.925999; 0.00; 0.00; 0.00
9473284.938000; 0.00; 0.00; 0.00
9489286.509998; 0.00; 0.00; 0.00
9505248.857000; 0.00; 0.00; 0.00
9521320.999001; 0.00; 0.00; 0.00
9537416.729000; 0.00; 0.00; 0.00
9553331.549000; 0.00; 0.00; 0.00
9569282.565998; 0.00; 0.00; 0.00
9585234.319998; 0.00; 0.00; 0.00
9601279.389999; 0.00; 0.00; 0.00
9617273.845999; 0.00; 0.00; 0.00
9633290.320999; 0.00; 0.00; 0.00
9649293.716999; 0.00; 0.00; 0.00
9665316.486998; 0.00; 0.00; 0.00
9681390.030998; 0.00; 0.00; 0.00
9697292.664000; 0.00; 0.00; 0.00
9713343.882999; 0.00; 0.00; 0.00
9729325.163000; 0.00; 0.00; 0.00
9745337.478001; 0.00; 0.00; 0.00
9761335.763000; 0.00; 0.00; 0.00
9777350.424999; 0.00; 0.00; 0.00
9793188.699999; 0.00; 0.00; 0.00
9809359.245998; 0.00; 0.00; 0.00
9825311.621000; 0.00; 0.00; 0.00
9841305.004999; 0.00; 0.00; 0.00
9857312.208998; 0.00; 0.00; 0.00
9873300.269999; 0.00; 0.00; 0.00
9889266.806999; 0.00; 0.00; 0.00
9905277.364000; 0.00; 0.00; 0.00
9921418.577000; 0.00; 0.00; 0.00
9937389.965998; 0.00; 0.00; 0.00
