t; x; y; theta
5181861.371000; 0.00; 0.00; 0.00
5198044.945000; 0.00; 0.00; 0.00
5213965.471000; 0.00; 0.00; 0.00
5230006.173000; 0.00; 0.00; 0.00
5245937.704000; 0.00; 0.00; 0.00
5261987.056000; 0.00; 0.00; 0.00
5278001.856000; 0.00; 0.00; 0.00
5293956.016000; 0.00; 0.00; 0.00
5310110.868000; 0.00; 0.00; 0.00
5325944.656000; 0.00; 0.00; 0.00
5344413.462000; 0.00; 0.00; 0.00
5359666.339000; 0.00; 0.00; 0.00
5374744.134000; 0.00; 0.00; 0.00
5390129.044000; 0.00; 0.00; 0.00
5405861.558000; 0.00; 0.00; 0.00
5421840.910000; 0.00; 0.00; 0.00
5437914.826000; 0.00; 0.00; 0.00
5456299.041000; 0.00; 0.00; 0.00
5471474.454000; 0.00; 0.00; 0.00
5575424.975000; 0.00; 0.00; 0.00
5590727.747000; 0.00; 0.00; 0.00
5608858.409000; 0.00; 0.00; 0.00
5624060.324000; 0.00; 0.00; 0.00
5639218.404000; 0.00; 0.00; 0.00
5654907.865000; 0.00; 0.00; 0.00
5670946.159000; 0.00; 0.00; 0.00
5687029.869000; 0.00; 0.00; 0.00
5703014.741000; 0.00; 0.00; 0.00
5718915.204000; 0.00; 0.00; 0.00
5734932.872000; 0.00; 0.00; 0.00
5750835.004000; 0.00; 0.00; 0.00
5766807.822000; 0.00; 0.00; 0.00
5782956.703000; 0.00; 0.00; 0.00
5798869.166000; 0.00; 0.00; 0.00
5814935.734000; 0.00; 0.00; 0.00
5830964.266000; 0.00; 0.00; 0.00
5846933.892000; 0.00; 0.00; 0.00
5862901.535000; 0.00; 0.00; 0.00
5878940.270000; 0.00; 0.00; 0.00
5895024.429000; 0.00; 0.00; 0.00
5914398.631000; 0.00; 0.00; 0.00
5926814.035000; 0.00; 0.00; 0.00
5943045.810000; 0.00; 0.00; 0.00
5958893.785000; 0.00; 0.00; 0.00
5974937.408000; 0.00; 0.00; 0.00
5991464.059000; 0.00; 0.00; 0.00
6008063.692000; 0.00; 0.00; 0.00
6023230.719000; 0.00; 0.00; 0.00
6038918.733000; 0.00; 0.00; 0.00
6054963.938000; 0.00; 0.00; 0.00
6070937.602000; 0.00; 0.00; 0.00
6086916.118000; 0.00; 0.00; 0.00
6102932.924000; 0.00; 0.00; 0.00
6118909.721000; 0.00; 0.00; 0.00
6134881.662000; 0.00; 0.00; 0.00
6150982.208000; 0.00; 0.00; 0.00
6166895.175000; 0.00; 0.00; 0.00
6182885.071000; 0.00; 0.00; 0.00
6198995.801000; 0.00; 0.00; 0.00
6217333.746000; 0.00; 0.00; 0.00
6232542.493000; 0.00; 0.00; 0.00
6247839.797000; 0.00; 0.00; 0.00
6263207.492000; 0.00; 0.00; 0.00
6278893.684000; 0.00; 0.00; 0.00
6294937.057000; 0.00; 0.00; 0.00
6310948.261000; 0.00; 0.00; 0.00
6326919.265000; 0.00; 0.00; 0.00
6343089.309000; 0.00; 0.00; 0.00
6358908.218000; 0.00; 0.00; 0.00
6374834.130000; 0.00; 0.00; 0.00
6390996.566000; 0.00; 0.00; 0.00
6406873.917000; 0.00; 0.00; 0.00
