t; x; y; theta
5691085.034000; 0.00; 0.00; 0.00
5707076.823001; 0.00; 0.00; 0.00
5723130.195001; 0.00; 0.00; 0.00
5739151.617001; 0.00; 0.00; 0.00
5755063.612000; 0.00; 0.00; 0.00
5770991.728000; 0.00; 0.00; 0.00
5786993.371000; 0.00; 0.00; 0.00
5802996.923000; 0.00; 0.00; 0.00
5819016.206000; 0.00; 0.00; 0.00
5835102.781001; 0.00; 0.00; 0.00
5851141.142000; 0.00; 0.00; 0.00
5867103.781000; 0.00; 0.00; 0.00
5883102.728001; 0.00; 0.00; 0.00
5898848.014000; 0.00; 0.00; 0.00
5915095.329000; 0.00; 0.00; 0.00
5931114.615001; 0.00; 0.00; 0.00
5947535.662001; 0.00; 0.00; 0.00
5963062.877001; 0.00; 0.00; 0.00
5979037.649000; 0.00; 0.00; 0.00
5999762.035001; 0.00; 0.00; 0.00
6103597.163000; 0.00; 0.00; 0.00
6118696.697001; 0.00; 0.00; 0.00
6136767.497000; 0.00; 0.00; 0.00
6151727.074000; 0.00; 0.00; 0.00
6166986.902000; 0.00; 0.00; 0.00
6182874.782001; 0.00; 0.00; 0.00
6198815.296000; 0.00; 0.00; 0.00
6214810.459001; 0.00; 0.00; 0.00
6230814.422000; 0.00; 0.00; 0.00
6246843.527000; 0.00; 0.00; 0.00
6262773.633000; 0.00; 0.00; 0.00
6278853.037000; 0.00; 0.00; 0.00
6294860.277000; 0.00; 0.00; 0.00
6310809.702001; 0.00; 0.00; 0.00
6327184.659999; 0.00; 0.00; 0.00
6342851.314000; 0.00; 0.00; 0.00
6358767.838000; 0.00; 0.00; 0.00
6374871.673000; 0.00; 0.00; 0.00
6390911.668000; 0.00; 0.00; 0.00
6406696.290000; 0.00; 0.00; 0.00
6422979.820001; 0.00; 0.00; 0.00
6438987.687000; 0.00; 0.00; 0.00
6455023.031000; 0.00; 0.00; 0.00
6470973.668000; 0.00; 0.00; 0.00
6492928.699000; 0.00; 0.00; 0.00
6504926.817000; 0.00; 0.00; 0.00
6520442.227000; 0.00; 0.00; 0.00
6535879.010000; 0.00; 0.00; 0.00
