t; x; y; theta
11975369.328000; 0.00; 0.00; 0.00
11991025.017000; 0.00; 0.00; 0.00
12007048.372000; 0.00; 0.00; 0.00
12023057.606000; 0.00; 0.00; 0.00
12039044.893001; 0.00; 0.00; 0.00
12055047.500000; 0.00; 0.00; 0.00
12071166.943001; 0.00; 0.00; 0.00
12087156.978000; 0.00; 0.00; 0.00
12103153.955000; 0.00; 0.00; 0.00
12119163.991000; 0.00; 0.00; 0.00
12135058.179000; 0.00; 0.00; 0.00
12151020.216001; 0.00; 0.00; 0.00
12169066.894000; 0.00; 0.00; 0.00
12184211.513000; 0.00; 0.00; 0.00
12199161.476001; 0.00; 0.00; 0.00
12215333.879001; 0.00; 0.00; 0.00
12231117.717000; 0.00; 0.00; 0.00
12247213.337000; 0.00; 0.00; 0.00
12263165.918000; 0.00; 0.00; 0.00
12279207.179000; 0.00; 0.00; 0.00
12295122.641001; 0.00; 0.00; 0.00
12311056.427000; 0.00; 0.00; 0.00
12329119.770000; 0.00; 0.00; 0.00
12344040.534000; 0.00; 0.00; 0.00
12359047.911000; 0.00; 0.00; 0.00
12375049.561000; 0.00; 0.00; 0.00
12391202.275000; 0.00; 0.00; 0.00
12407153.161000; 0.00; 0.00; 0.00
12423171.476001; 0.00; 0.00; 0.00
12439148.723001; 0.00; 0.00; 0.00
12455084.701000; 0.00; 0.00; 0.00
12471156.797001; 0.00; 0.00; 0.00
12489376.242001; 0.00; 0.00; 0.00
12504295.360001; 0.00; 0.00; 0.00
12519176.393001; 0.00; 0.00; 0.00
12535057.958001; 0.00; 0.00; 0.00
12551031.931001; 0.00; 0.00; 0.00
12569160.952000; 0.00; 0.00; 0.00
12584200.850000; 0.00; 0.00; 0.00
12599378.025000; 0.00; 0.00; 0.00
12615200.930000; 0.00; 0.00; 0.00
12631183.423000; 0.00; 0.00; 0.00
12647142.664000; 0.00; 0.00; 0.00
12663118.179001; 0.00; 0.00; 0.00
12679037.968000; 0.00; 0.00; 0.00
12697100.432000; 0.00; 0.00; 0.00
12712019.747001; 0.00; 0.00; 0.00
12727128.129001; 0.00; 0.00; 0.00
12743047.231001; 0.00; 0.00; 0.00
12761148.513000; 0.00; 0.00; 0.00
12776428.209001; 0.00; 0.00; 0.00
12791734.494000; 0.00; 0.00; 0.00
12807152.973001; 0.00; 0.00; 0.00
12823128.862000; 0.00; 0.00; 0.00
12839108.641000; 0.00; 0.00; 0.00
12855095.144000; 0.00; 0.00; 0.00
