t; x; y; theta
8350000.000000; 1.21; 1.69; 2.38
8366667.000000; 1.21; 1.69; 2.38
8383333.000000; 1.21; 1.69; 2.23
8391667.000000; 1.21; 1.69; 2.21
8408333.000000; 1.21; 1.69; 2.38
8425000.000000; 1.21; 1.69; 2.23
8441667.000000; 1.21; 1.69; 2.24
8458333.000000; 1.21; 1.69; 2.23
8475000.000000; 1.21; 1.69; 2.24
8491667.000000; 1.21; 1.69; 2.37
8508333.000000; 1.21; 1.69; 2.21
8525000.000000; 1.21; 1.69; 2.38
8541667.000000; 1.21; 1.69; 2.38
8558333.000000; 1.21; 1.69; 2.38
8575000.000000; 1.21; 1.69; 2.23
8583333.000000; 1.21; 1.69; 2.39
8600000.000000; 1.21; 1.69; 2.37
8616667.000000; 1.21; 1.69; 2.23
8633333.000000; 1.21; 1.69; 2.24
8650000.000000; 1.21; 1.69; 2.37
8666667.000000; 1.21; 1.69; 2.23
8683333.000000; 1.21; 1.69; 2.38
8700000.000000; 1.21; 1.69; 2.37
8716667.000000; 1.21; 1.69; 2.23
8733333.000000; 1.21; 1.69; 2.37
8750000.000000; 1.21; 1.69; 2.38
8766667.000000; 1.21; 1.69; 2.38
8775000.000000; 1.21; 1.69; 2.38
8791667.000000; 1.21; 1.69; 2.23
8808333.000000; 1.21; 1.69; 2.23
8825000.000000; 1.21; 1.69; 2.38
8841667.000000; 1.21; 1.69; 2.38
8858333.000000; 1.21; 1.69; 2.38
8875000.000000; 1.21; 1.69; 2.23
8891667.000000; 1.21; 1.69; 2.38
8908333.000000; 1.21; 1.69; 2.37
8925000.000000; 1.21; 1.69; 2.23
8941667.000000; 1.21; 1.69; 2.37
8958333.000000; 1.21; 1.69; 2.38
8975000.000000; 1.21; 1.69; 2.37
8983333.000000; 1.21; 1.69; 2.24
9000000.000000; 1.21; 1.69; 2.23
9016667.000000; 1.21; 1.69; 2.24
9033333.000000; 1.21; 1.69; 2.23
9050000.000000; 1.21; 1.69; 2.23
9066667.000000; 1.21; 1.69; 2.38
9083333.000000; 1.21; 1.69; 2.38
9100000.000000; 1.21; 1.69; 2.38
9116667.000000; 1.21; 1.69; 2.24
9133333.000000; 1.21; 1.69; 2.37
9150000.000000; 1.21; 1.69; 2.38
9166667.000000; 1.21; 1.69; 2.37
9175000.000000; 1.21; 1.69; 2.23
9191667.000000; 1.21; 1.69; 2.23
9208333.000000; 1.21; 1.69; 2.38
9225000.000000; 1.21; 1.69; 2.38
9241667.000000; 1.21; 1.69; 2.38
9258333.000000; 1.21; 1.69; 2.23
9275000.000000; 1.21; 1.69; 2.39
9291667.000000; 1.21; 1.69; 2.38
9308333.000000; 1.21; 1.69; 2.23
9325000.000000; 1.21; 1.69; 2.37
9341667.000000; 1.21; 1.69; 2.37
9358333.000000; 1.21; 1.69; 2.39
9375000.000000; 1.21; 1.69; 2.23
9383333.000000; 1.21; 1.69; 2.38
9400000.000000; 1.21; 1.69; 2.24
9416667.000000; 1.21; 1.69; 2.38
9433333.000000; 1.21; 1.69; 2.38
9450000.000000; 1.21; 1.69; 2.37
9466667.000000; 1.21; 1.69; 2.38
9483333.000000; 1.21; 1.69; 2.37
9500000.000000; 1.21; 1.69; 2.37
9516667.000000; 1.21; 1.69; 2.24
9533333.000000; 1.21; 1.69; 2.23
9550000.000000; 1.21; 1.69; 2.36
9566667.000000; 1.21; 1.69; 2.24
9583333.000000; 1.21; 1.69; 2.23
9600000.000000; 1.21; 1.69; 2.24
9608333.000000; 1.21; 1.69; 2.23
9625000.000000; 1.21; 1.69; 2.38
9641667.000000; 1.21; 1.69; 2.24
9658333.000000; 1.21; 1.69; 2.38
9675000.000000; 1.21; 1.69; 2.38
9691667.000000; 1.21; 1.69; 2.24
9708333.000000; 1.21; 1.69; 2.38
9725000.000000; 1.21; 1.69; 2.23
9741667.000000; 1.21; 1.69; 2.38
9758333.000000; 1.21; 1.69; 2.37
9775000.000000; 1.21; 1.69; 2.37
9783333.000000; 1.21; 1.69; 2.39
9800000.000000; 1.21; 1.69; 2.23
9816667.000000; 1.21; 1.69; 2.23
9833333.000000; 1.21; 1.69; 2.22
9850000.000000; 1.21; 1.69; 2.23
9866667.000000; 1.21; 1.69; 2.24
9883333.000000; 1.21; 1.69; 2.23
9900000.000000; 1.21; 1.69; 2.37
9916667.000000; 1.21; 1.69; 2.23
9933333.000000; 1.21; 1.69; 2.24
9950000.000000; 1.21; 1.69; 2.38
9966667.000000; 1.21; 1.69; 2.39
9983333.000000; 1.21; 1.69; 2.38
9991667.000000; 1.21; 1.69; 2.23
10016667.000000; 1.21; 1.69; 2.23
10025000.000000; 1.21; 1.69; 2.37
10041667.000000; 1.21; 1.69; 2.23
10058333.000000; 1.21; 1.69; 2.24
10075000.000000; 1.21; 1.69; 2.24
10091667.000000; 1.21; 1.69; 2.23
10108333.000000; 1.21; 1.69; 2.22
10125000.000000; 1.21; 1.69; 2.23
10141667.000000; 1.21; 1.69; 2.24
10158333.000000; 1.21; 1.69; 2.24
10175000.000000; 1.21; 1.69; 2.24
10183333.000000; 1.21; 1.69; 2.24
10200000.000000; 1.21; 1.69; 2.38
10216667.000000; 1.21; 1.69; 2.23
10233333.000000; 1.21; 1.69; 2.37
10250000.000000; 1.21; 1.69; 2.38
10266667.000000; 1.21; 1.69; 2.39
10283333.000000; 1.21; 1.69; 2.38
10300000.000000; 1.21; 1.69; 2.23
10316667.000000; 1.21; 1.69; 2.37
10333333.000000; 1.21; 1.69; 2.38
10350000.000000; 1.21; 1.69; 2.24
10366667.000000; 1.21; 1.69; 2.23
10375000.000000; 1.21; 1.69; 2.24
10391667.000000; 1.21; 1.69; 2.38
10408333.000000; 1.21; 1.69; 2.38
10425000.000000; 1.21; 1.69; 2.23
10441667.000000; 1.21; 1.69; 2.38
10458333.000000; 1.21; 1.69; 2.23
10475000.000000; 1.21; 1.69; 2.38
10491667.000000; 1.21; 1.69; 2.23
10508333.000000; 1.21; 1.69; 2.23
10525000.000000; 1.21; 1.69; 2.23
10541667.000000; 1.21; 1.69; 2.23
10558333.000000; 1.21; 1.69; 2.38
